Test_Date,County_Code,Zip_Code,Positive_Cases,Total_Tests
4/1/20,67,13104,0,3
4/1/20,9,14770,0,1
4/1/20,805,7760,0,2
4/1/20,39,12015,1,1
4/1/20,103,11961,5,6
4/1/20,61,10463,1,1
4/1/20,103,11042,1,1
4/1/20,119,12603,1,1
4/1/20,805,60189,1,1
4/1/20,47,11240,0,2
4/1/20,43,13407,0,1
4/1/20,109,14853,0,2
4/1/20,805,98346,1,1
4/1/20,805,85006,0,1
4/1/20,55,14506,0,1
4/1/20,67,13060,0,1
4/1/20,805,21853,0,1
4/1/20,805,7946,0,1
4/1/20,805,60605,0,1
4/1/20,23,11231,1,1
4/1/20,55,0,0,1
4/1/20,75,13042,0,1
4/1/20,89,13625,0,1
4/1/20,95,12157,0,2
4/1/20,109,14851,0,1
4/1/20,95,12066,0,1
4/1/20,119,10573,31,57
4/1/20,47,11205,15,28
4/1/20,61,10013,4,14
4/1/20,59,11050,12,17
4/1/20,81,11377,43,64
4/1/20,103,11954,2,4
4/1/20,81,11104,7,18
4/1/20,79,10579,3,12
4/1/20,81,11692,11,17
4/1/20,81,11420,26,47
4/1/20,47,U,11,16
4/1/20,29,14222,3,13
4/1/20,805,75024,0,1
4/1/20,87,10989,6,17
4/1/20,81,11356,11,17
4/1/20,87,10994,8,20
4/1/20,25,13838,0,1
4/1/20,75,13076,0,1
4/1/20,27,12603,15,37
4/1/20,29,14025,1,2
4/1/20,805,86315,1,1
4/1/20,81,11429,20,28
4/1/20,91,12019,0,3
4/1/20,111,12566,0,6
4/1/20,89,13662,1,3
4/1/20,103,11934,5,8
4/1/20,63,14303,1,3
4/1/20,805,8520,2,3
4/1/20,113,12815,0,1
4/1/20,29,14085,1,4
4/1/20,119,10527,0,1
4/1/20,103,11739,2,4
4/1/20,805,8753,1,4
4/1/20,805,20151,0,1
4/1/20,805,7712,1,1
4/1/20,111,12480,0,1
4/1/20,99,13148,0,2
4/1/20,15,14871,0,2
4/1/20,111,12542,2,5
4/1/20,805,7646,1,4
4/1/20,805,8723,0,3
4/1/20,53,13402,1,4
4/1/20,105,12747,0,4
4/1/20,77,13750,0,1
4/1/20,71,12584,1,1
4/1/20,55,14625,0,1
4/1/20,27,12514,1,2
4/1/20,111,12525,0,1
4/1/20,111,12547,0,3
4/1/20,37,14125,0,1
4/1/20,81,11323,1,1
4/1/20,81,11102,11,15
4/1/20,67,13202,1,4
4/1/20,5,10462,59,101
4/1/20,47,11220,40,74
4/1/20,119,10803,6,24
4/1/20,61,10027,16,26
4/1/20,103,11951,6,11
4/1/20,47,11206,30,53
4/1/20,59,11714,15,27
4/1/20,805,60016,0,1
4/1/20,81,11379,21,31
4/1/20,91,12866,2,11
4/1/20,47,11238,22,37
4/1/20,55,14618,2,11
4/1/20,103,11730,10,20
4/1/20,69,14548,0,1
4/1/20,47,11204,35,63
4/1/20,103,11789,1,4
4/1/20,51,14414,0,6
4/1/20,91,12831,1,12
4/1/20,805,27616,0,1
4/1/20,91,12822,0,3
4/1/20,805,8823,1,1
4/1/20,1,12203,1,8
4/1/20,97,14889,0,1
4/1/20,805,7436,1,2
4/1/20,103,11977,0,3
4/1/20,61,10495,1,1
4/1/20,105,12736,0,1
4/1/20,91,12118,1,4
4/1/20,11,13156,0,1
4/1/20,805,33993,1,1
4/1/20,65,13492,0,2
4/1/20,29,14034,0,1
4/1/20,61,10007,1,3
4/1/20,805,7029,0,1
4/1/20,65,13476,0,2
4/1/20,49,13327,0,1
4/1/20,27,12578,1,1
4/1/20,77,13849,0,1
4/1/20,27,12583,0,1
4/1/20,43,13324,0,1
4/1/20,107,,0,1
4/1/20,53,13355,0,1
4/1/20,13,14750,1,1
4/1/20,805,6812,0,1
4/1/20,75,13145,0,1
4/1/20,805,7065,0,1
4/1/20,111,12416,0,1
4/1/20,805,66062,0,1
4/1/20,805,8033,0,1
4/1/20,5,10457,50,76
4/1/20,119,10580,6,24
4/1/20,61,10040,13,28
4/1/20,119,10562,32,64
4/1/20,91,12803,0,2
4/1/20,15,14845,0,4
4/1/20,77,13820,2,8
4/1/20,61,10011,8,23
4/1/20,805,7009,0,1
4/1/20,99,14847,0,2
4/1/20,83,,1,6
4/1/20,59,11510,26,42
4/1/20,67,13208,2,10
4/1/20,67,13057,0,8
4/1/20,97,14886,0,2
4/1/20,29,14047,0,2
4/1/20,111,12443,2,5
4/1/20,805,33180,0,1
4/1/20,5,12754,1,1
4/1/20,61,10037,10,18
4/1/20,9,14737,0,1
4/1/20,805,7107,1,2
4/1/20,67,13039,0,5
4/1/20,93,12309,1,9
4/1/20,805,86314,1,1
4/1/20,105,12765,0,2
4/1/20,805,60148,0,1
4/1/20,43,,0,1
4/1/20,805,7042,1,1
4/1/20,13,,1,2
4/1/20,53,13310,0,1
4/1/20,9,14755,0,2
4/1/20,805,7104,1,1
4/1/20,805,19901,0,1
4/1/20,69,14564,0,1
4/1/20,93,12304,1,3
4/1/20,805,7026,1,1
4/1/20,23,13784,0,1
4/1/20,67,13211,0,1
4/1/20,805,7738,0,1
4/1/20,47,11231,11,21
4/1/20,59,11553,30,43
4/1/20,103,11729,27,53
4/1/20,47,11230,47,77
4/1/20,47,11210,36,52
4/1/20,87,10901,24,53
4/1/20,85,10303,13,26
4/1/20,81,11101,18,27
4/1/20,81,11418,23,41
4/1/20,31,12974,0,1
4/1/20,81,11004,15,27
4/1/20,61,10002,15,36
4/1/20,5,,54,83
4/1/20,27,12590,8,26
4/1/20,61,U,5,5
4/1/20,45,13601,3,13
4/1/20,53,,0,3
4/1/20,103,11742,8,19
4/1/20,73,14098,0,1
4/1/20,67,13224,0,3
4/1/20,27,12524,6,15
4/1/20,61,10014,8,14
4/1/20,805,8005,0,1
4/1/20,117,14513,0,6
4/1/20,119,10506,0,5
4/1/20,61,10010,4,20
4/1/20,55,14608,1,6
4/1/20,119,10528,5,12
4/1/20,47,11202,0,2
4/1/20,29,14068,0,5
4/1/20,61,10017,2,5
4/1/20,805,6903,0,1
4/1/20,67,13219,1,13
4/1/20,45,13634,0,1
4/1/20,805,7017,1,2
4/1/20,103,11976,1,3
4/1/20,97,14865,1,1
4/1/20,805,37421,0,1
4/1/20,83,12168,1,2
4/1/20,73,14470,0,3
4/1/20,805,8852,1,2
4/1/20,805,32277,0,1
4/1/20,805,7470,0,1
4/1/20,805,18428,0,1
4/1/20,87,10964,4,4
4/1/20,805,85382,0,1
4/1/20,103,11952,1,4
4/1/20,9,,0,1
4/1/20,119,U,4,6
4/1/20,39,12442,0,1
4/1/20,105,12740,0,2
4/1/20,119,10511,1,1
4/1/20,27,12594,2,4
4/1/20,9,14171,0,1
4/1/20,805,33480,0,1
4/1/20,51,14487,0,1
4/1/20,805,7644,0,1
4/1/20,805,60515,0,1
4/1/20,103,11722,67,91
4/1/20,59,11507,2,7
4/1/20,805,7202,0,1
4/1/20,103,11706,81,125
4/1/20,119,10595,7,11
4/1/20,47,11229,31,62
4/1/20,67,,1,11
4/1/20,59,11793,22,38
4/1/20,59,11003,45,81
4/1/20,67,13210,1,6
4/1/20,51,14437,0,1
4/1/20,81,11433,14,24
4/1/20,89,13676,0,4
4/1/20,111,12477,1,13
4/1/20,103,11795,13,24
4/1/20,87,10970,11,26
4/1/20,81,11361,8,14
4/1/20,29,14213,2,10
4/1/20,45,13685,0,3
4/1/20,67,13203,0,6
4/1/20,103,11953,2,5
4/1/20,103,11716,4,6
4/1/20,117,14489,0,3
4/1/20,103,11792,5,8
4/1/20,103,11796,2,4
4/1/20,7,13904,0,5
4/1/20,103,11768,13,25
4/1/20,35,12078,2,5
4/1/20,93,12302,1,5
4/1/20,87,10976,2,5
4/1/20,67,13120,0,2
4/1/20,27,12545,0,3
4/1/20,93,12305,0,1
4/1/20,61,10004,1,1
4/1/20,27,12564,1,1
4/1/20,101,14870,0,2
4/1/20,5,U,3,3
4/1/20,805,7661,0,1
4/1/20,17,13155,0,1
4/1/20,805,8857,0,1
4/1/20,103,11947,1,1
4/1/20,49,13367,0,1
